00A4 A1E8
00A7 A1EC
00A8 A1A7
00B0 A1E3
00B1 A1C0
00B7 A1A4
00D7 A1C1
00E0 A8A4
00E1 A8A2
00E8 A8A8
00E9 A8A6
00EA A8BA
00EC A8AC
00ED A8AA
00F2 A8B0
00F3 A8AE
00F7 A1C2
00F9 A8B4
00FA A8B2
00FC A8B9
0101 A8A1
0113 A8A5
011B A8A7
012B A8A9
014D A8AD
016B A8B1
01CE A8A3
01D0 A8AB
01D2 A8AF
01D4 A8B3
01D6 A8B5
01D8 A8B6
01DA A8B7
01DC A8B8
02C7 A1A6
02C9 A1A5
0391 A6A1
0392 A6A2
0393 A6A3
0394 A6A4
0395 A6A5
0396 A6A6
0397 A6A7
0398 A6A8
0399 A6A9
039A A6AA
039B A6AB
039C A6AC
039D A6AD
039E A6AE
039F A6AF
03A0 A6B0
03A1 A6B1
03A3 A6B2
03A4 A6B3
03A5 A6B4
03A6 A6B5
03A7 A6B6
03A8 A6B7
03A9 A6B8
03B1 A6C1
03B2 A6C2
03B3 A6C3
03B4 A6C4
03B5 A6C5
03B6 A6C6
03B7 A6C7
03B8 A6C8
03B9 A6C9
03BA A6CA
03BB A6CB
03BC A6CC
03BD A6CD
03BE A6CE
03BF A6CF
03C0 A6D0
03C1 A6D1
03C3 A6D2
03C4 A6D3
03C5 A6D4
03C6 A6D5
03C7 A6D6
03C8 A6D7
03C9 A6D8
0401 A7A7
0410 A7A1
0411 A7A2
0412 A7A3
0413 A7A4
0414 A7A5
0415 A7A6
0416 A7A8
0417 A7A9
0418 A7AA
0419 A7AB
041A A7AC
041B A7AD
041C A7AE
041D A7AF
041E A7B0
041F A7B1
0420 A7B2
0421 A7B3
0422 A7B4
0423 A7B5
0424 A7B6
0425 A7B7
0426 A7B8
0427 A7B9
0428 A7BA
0429 A7BB
042A A7BC
042B A7BD
042C A7BE
042D A7BF
042E A7C0
042F A7C1
0430 A7D1
0431 A7D2
0432 A7D3
0433 A7D4
0434 A7D5
0435 A7D6
0436 A7D8
0437 A7D9
0438 A7DA
0439 A7DB
043A A7DC
043B A7DD
043C A7DE
043D A7DF
043E A7E0
043F A7E1
0440 A7E2
0441 A7E3
0442 A7E4
0443 A7E5
0444 A7E6
0445 A7E7
0446 A7E8
0447 A7E9
0448 A7EA
0449 A7EB
044A A7EC
044B A7ED
044C A7EE
044D A7EF
044E A7F0
044F A7F1
0451 A7D7
2014 A1AA
2016 A1AC
2018 A1AE
2019 A1AF
201C A1B0
201D A1B1
2026 A1AD
2030 A1EB
2032 A1E4
2033 A1E5
203B A1F9
2103 A1E6
2116 A1ED
2160 A2F1
2161 A2F2
2162 A2F3
2163 A2F4
2164 A2F5
2165 A2F6
